,"General",,,,
"Investor","Why do I need to Bid for a loan?","Each offer has a fundraising period during which investors can pledge online investments. A fundraising offer is successful only if the Base Target Amount has been committed before the end of the funding period. Therefore, investments pledged during the fundraising period before the Base Target Amount has been committed will be in Bid state. These 'Bids' will be confirmed once the Base Target Amount is achieved.",,"Mengapa saya perlu melakukan penawaran untuk suatu pinjaman?","Masing - masing pinjaman memiliki periode penggalangan dana selama investor mana yang dapat menjanjikan investasi secara online kepada pinjaman tersebut. Kampanye penggalangan dana untuk pinjaman akan sukses jika total nominal pinjaman yang ditargetkan telah terpenuhi sebelum akhir periode pendanaan. Oleh karena itu, jaminan investasi selama periode penggalangan dana sebelum total nominal pinjaman yang ditargetkan terpenuhi akan dicatat dalam bagian penawaran. Penawaran investasi akan dikonfirmasi setelah total nominal yang ditargetkan tertutupi."
"Investor","Who does the vetting of Borrowers?","Crowdo. We have a number of measures in place to evaluate the Issuer's submission, including conducting upfront checks, holding entrepreneurs and businesses accountable for the information they have provided us, and, if necessary taking legal action against the entrepreneurs and businesses for non-compliance.",,"Siapa yang melakukan proses pemeriksaan terhadap pihak peminjam?","Kami. Kita memiliki beberapa langkah - langkah untuk melakukan evaluasi dalam pengajuan pinjaman oleh peminjam, termasuk melakukan pemeriksaan dimuka, memegang tanggung jawab wirausaha dan pengusaha terhadap informasi yang telah mereka berikan ke kita, dan, mengambil tindakan hukum terhadap wirausaha dan pengusaha atas ketidakpatuhan mereka jika diperlukan."
"Investor","What do I get in exchange for my investment?","As you are investing in a offer you should expect to receive in return the amount you invested (principle) plus an interest amount (interest return). Principle + interest return are repaid according to a pre-agreed repayment schedule.",,"Apa yang akan saya dapat atas investasi yang telah dilakukan?","Dikarenakan Anda melakukan investasi terhadap suatu pinjaman, Anda akan memperoleh pengembalian atas nilai yang anda investasikan (Nilai dasar) ditambah dengan nilai bunga (tingkat pengembalian bunga). Nilai dasar + tingkat pengembalian bunga akan dibayarkan berdasarkan jadwal pembayaran kembali yang telah disepakati"
"Investor","What is the interest returned on my investment?","Each offer published on the P2P platform clearly states the interest rate to be returned to investors. The exact repayment schedule is also displayed in the fact sheet. If you bid an amount lower than the principle, the repayment you are entitled to will be prorated according to your investment amount and visible in your online portfolio (My Portfolio page)",,"Apakah yang dimaksud dengan tingkat pengembalian bunga dalam investasi Saya?","Masing - masing pinjaman di platform P2P dengan jelas menyatakan bahwa suku bunga akan dikembalikan ke investor. Jadwal pembayaran kembali yang tepat juga ditampilkan di dalam lembar fakta pinjaman. Jika anda melakukan penawaran dengan nominal dibawah nilai dasar, tingkat pengembalian yang berhak didapat akan dihitung pro rata berdasarkan nilai yang anda investasikan dan telihat dalam portofolio online anda (Halaman Portofolio Saya)"
"Investor","I was notified that the Fundraising offer I invested in is unsuccessful, what happens now?","The amount you bid on that fundraising offer will be refunded to your online account.",,"Saya mendapat notifikasi bahwa kampanye penggalangan dana yang Saya investasikan tidak berhasil, apa yang akan terjadi sekarang?","Nominal penawaran yang Anda masukkan ke dalam kampanye penggalangan dana tersebut akan dikembalikan ke akun online anda"
"Investor","Are my investments made public?","No.",,"Apakah informasi investasi Saya di publikasikan?","Tidak"
"Investor","Does the Borrower receive my Investment right away?","No. The investment amount you bid to a offer will be secured in your online account until the offer is successful. Only in cases where the fundraising reaches its base target amount prior to the expiry date of the fundraising period, the funds be transferred to the Issuer. If the Offer fails to reach its target, then the funds will be returned to the participating Investors. ",,"Apakah Peminjam langsung mendapatkan investasi dari Saya?","Tidak. Jumlah investasi yang Anda tawarkan ke suatu pinjaman akan diamankan ke dalam rekening virtual Anda sampai dengan masa partisipasi berakhir. Hanya pada kondisi tertentu dimana dana pinjaman yang dibutuhkan telah terpenuhi sebelum masa partisipasi berakhir, dana akan di cairkan kepada peminjam. Apabila kebutuhan dana tidak terpenuhi dalam masa partisipasi, maka dana akan dikembalikan kepada investor. Selain itu, kami memberikan waktu tenang (masa pra perjanjian) untuk investor apabila ingin membatalkan investasinya."
"Investor","Can the Borrower reject your funds?","No.",,"Apakah Peminjam dapat menolak dana pinjaman ?","Tidak"
"Investor","Is my investment guaranteed?","No. Despite some debt notes being personal/ corporate guaranteed, it does not mean your investment will definitively be returned. You should notice that your investment will have risks. However, you will be able to invest in offers with different risk profiles. For example you will be able to find offers with collateral which are generally considered less risky than uncollateralized loans.",,"Apakah Investasi Saya dijamin?","Tidak. Meskipun suatu pinjaman mempunyai Jaminan Perorangan / Perusahaan tidak berarti investasi Anda dijamin. Anda diharapkan menyadari bahwa investasi Anda memiliki resiko. Namun demikian, Anda dapat berinvestasi pada pinjaman dengan profil resiko yang bervariasi. Contoh: Anda dapat menemukan pinjaman dengan jaminan yang secara umum dikategorikan beresiko rendah dibandingkan dengan pinjaman tanpa jaminan."
"Investor","What happens in the event of a Borrower delay or default on a repayment?","A default event is defined as 2 consecutive delayed repayments. If an Issuer delays 2 consecutive repayments, this is considered a default and the default procedure is triggered. In the case of collateralized debt, the default procedure consists of liquidating the collateral and using the proceeds of the liquidation to repay the outstanding principle to investors. In case of non collateralized debt, Crowdo will engage the Issuer to explore potential repayment options while keeping the investor informed of the progress.",,"Apa yang terjadi ketika Peminjam terlambat atau gagal bayar?","Kondisi gagal bayar adalah kondisi dimana secara dua bulan berturut turut terjadi keterlambatan bayar. Apabila peminjam terlambat melakukan pembayaran secara dua bulan berturut turut maka proses gagal bayar akan dilakukan. Dalam pinjaman dengan jaminan, proses gagal bayar akan dilanjuti dengan likuidasi jaminan dan hasil dari likuidasi akan digunakan untuk membayar pokok pinjaman kepada investor. Untuk pinjaman tanpa jaminan, Crowdo akan melakukan mediasi kepada peminjam untuk potensi solusi pembayaran kembali dengan menginformasikan proses yang sedang berjalan kepada investor."
"Investor","What is the Loan Grade?","The Loan Grade is Crowdo's proprietary index of the risk profile of the offer. There are 6 levels: A+ (less risky), A, B, C, D, E (higher risk). There are several factors used to assess the risk of an offer and assign the Grade. Some of the factors are: Issuer's past repayment history, borrower's financial situation and assets pledged as collateral to the debt. In general risker investments are expected to give higher return to investors to compensate for the risk taken.",,"Apa yang dimaksud kelas pinjaman?","Kelas Pinjaman adalah tolak ukur Crowdo untuk menganalisa profil resiko debitur. Terdapat 6 kelas pinjaman yaitu: A+ (minimum resiko), A, B, C, D, E (resiko lebih tinggi. Terdapat beberapa faktor yang digunakan untuk menganalisa resiko pinjaman dan klasifikasi kelas. Beberapa faktor adalah sebagai berikut: Sejarah pembayaran debitur, kondisi keuangan debitur dan aset yang diberikan sebagai jaminan pinjaman. Secara umum investasi dengan resiko lebih tinggi akan memberikan hasil investasi yang lebih tinggi kepada investor sebagi kompensasi atas resiko yang diambil."
"Investor","How is the repayment schedule calculated?","The repayment is calculated using an effective annual interest rate. The annual effective interest rate is the annual rate that is charged for financing (or made by investing) which takes into account the compounding effect.
 
 The repayment schedule is calculated to give investors a constant monthly repayment amount which pay off his/her investment with the specified interest rate, over the specified period. 
 
 The constant monthly instalment amount is calculated using the PMT formula in Excel: Monthly Instalment = PMT(Effective Annual Interest Rate/12, # of repayments, debt principle) 
 
 The break down of monthly principle repayment and monthly interest repayment can be calculated as following:
 
 a) Monthly principle repayment amount is calculated using the PPMT formula in Excel: Principle Repayment Month n = PPMT(Effective Annual Interest Rate/12, n, # of repayments, debt principle) 
 
 b) Monthly interest repayment amount is calculated using the IPMT formula in Excel: Interest Repayment Month n = IPMT(Effective Annual Interest Rate/12, n, # of repayments, debt principle) 
 
 You can also calculate the monthly interest repayment using the following formula: 
 Interest Amount Month n = (Outstanding Balance Mount n) * (Effective Annual Interest Rate) / 12",,"Bagaimana cara perhitungan pembayaran kembali?","Pembayaran kembali di hitung dengan bunga efektif dalam satu tahun. Bunga efektif dalam satu tahun adalah bunga dikenakan kepada debitur (atau dalam hal investasi) dimana perhitungan dengan penggabungan. Jadwal pembayaran pinjaman dihitung untuk memberikan investor jumlah pembayaran bulanan secara konstan yang membayar / investasinya dengan tingkat bunga yang ditentukan, dalam jangka waktu tertentu. Jumlah angsuran bulanan secara konstan dihitung dengan menggunakan rumus PMT di Excel: Angsuran Bulanan = PMT (Suku Bunga Tahunan Efektif / 12, # dari pembayaran, pokok pinjaman. Perhitungan pembayaran pokok dan bunga bulanan dapat dihitung sebagai berikut: a) Pembayaran bulanan atas pokok pinjaman dihitung dengan menggunakan rumus PPMT di Excel: Pembayaran Pokok Bulanan n = PPMT (Efektif Tingkat Bunga / 12, n, # dari pembayaran, pokok pinjaman)
 
 b) pembayaran bulanan atas bunga dihitung dengan menggunakan rumus IPMT di Excel: Pembayaran Bunga Bulanan n = IPMT (Efektif Tingkat Bunga / 12, n, # dari pembayaran, pokok pinjaman)
 
 Anda juga dapat menghitung pembayaran bunga bulanan menggunakan rumus sebagai berikut:
 Jumlah Bulan n = (Oustanding Balance Mount n) * (Suku Bunga Tahunan Efektif) / 12"
"Investor","What is the effective interest rate?","The effective interest rate is the annualized rate that is charged for debt financing (or made by investing) which takes into account the compounding effect. 
 
 As an Investor you will receive every month a repayment which includes monthly principle repayment plus monthly interest return. The monthly interest return is calculated every month as the agreed interest rate on the outstanding principle. The outstanding principle is the amount you invested minus all the monthly principles already repaid to you.",,"Apa yang dimaksud dengan bunga efektif?","Suku bunga efektif adalah tingkat suku bungatahunan yang dibebankan untuk meminjam (atau dibuat dengan berinvestasi) dengan metode pengabungan.
 
 Sebagai Investor Anda akan menerima setiap bulan pembayaran yang meliputi pembayaran pokok bulanan ditambah imbal hasil bunga bulanan. Imbal hasil bunga bulanan dihitung setiap bulan sebagai tingkat bunga yang telah disepakati pada pokok pinjaman. Sisa pokok pinjaman adalah jumlah yang diinvestasikan dikurangi dengan semua pokok bulanan sudah dilunasi kepada Anda."
"Investor","What is the annual percentage rate (APR)?","The annual percentage rate is the annual rate that is charged for debt financing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a the debt. If the investor invests 10,000 SGD in a 12 month debt with 10% annual percentage rate and monthly repayment, the monthly interest amount is calculated at 10% of the principle such as: month 1 return = (10% on 10k SGD)/12, month 2 return = (10% of 10k SGD)/12, month 3 return = 10% of SGD 10k SGD)/12, etc.",,"apa yang dimaksud dengan persentase bunga tahunan?","Tingkat persentase bunga tahunan adalah tingkatbunga tahunan yang dibebankan untuk meminjam (atau dibuat dengan berinvestasi), dinyatakan dalam persentase yang merupakan biaya tahunan secara aktual selama jangka pinjaman. Apabila investor berinvestasi sebesar Rp. 10,000 di pinjaman dengan jangka waktu 12 bulan dengan 10% tingkat persentase tahunan dan pembayaran bulanan, perhitungan bunga bulanan dihitung sebesar 10% dari pokok seperti: bulan 1 imbal hasil = (10% dari 10k SGD) / 12 , bulan 2 imbal hasil = (10% dari 10k SGD) / 12, bulan 3 imbal hasil = 10% dari Rp 10k SGD) / 12, dll"
"Investor","Can I withdraw/modify my investment Bid?","Investors can cancel or modify their investment bids at any time during the cooling off period. You can cancel/modify your investment bid from the My Investments section of the website. After a cooling off period, you will not be allowed to cancel or modify your investments.",,"Apakah saya dapat menarik kembali partisipasi atau memodifikasil investasi saya?","Investor dapat membatalkan atau memodifikasi tawaran investasi mereka setiap saat selama masa tenang. Anda dapat membatalkan / memodifikasi tawaran investasi Anda dari bagian My Investasi website. Setelah pendinginan pinjaman off period, Anda tidak akan diizinkan untuk membatalkan atau mengubah investasi Anda."
"Investor","Can I withdraw my investment?","You will be able to withdraw your Available Balance ( committed amount is excluded) from your online account any time after 1 month from your first topup.",,"Apakah Saya bisa menarik investasi saya?","Anda dapat menarik Saldo yang tersedia (diluar jumlah saldo yang Anda masukkan ke penawaran) dari akun online Anda setiap saat setelah 1 bulan dari topup pertama Anda."
"Investor","Which legal documents do I get as an Investor in a loan on Crowdo Indonesian Platform?","In Indonesia only, you will have a Participation Agreement where you appoint Crowdo as your agent for that specific investment and a Debt Note which constitutes the actual loan agreement between you and the borrower.",,"Dokumen apa saja yang saya dapatkan sebagai Investor di pinjaman?","Anda akan memiliki Perjanjian Partisipasi dimana Anda menunjuk Crowdo sebagai agen Anda untuk investasi yang spesifik dan Promissory Note yang merupakan perjanjian pinjaman yang sebenarnya antara Anda dan peminjam."
"Investor","Which legal documents do I get as an Investor in a loan on Crowdo Singapore Platform?","When you make investment, you will be able to access the Terms & Condition of Application, Escrow Agent Agreement and receive an Application Form on your dashboard. After the offer is fully funded, you will receive a Notes Certificates and other transaction related legal documents on your dashboard. ",,"Dokumen hukum manakah yang saya dapatkan sebagai Investor dalam pinjaman di Platform Crowdo Singapura?","Saat melakukan investasi, Anda akan dapat mengakses Syarat & Ketentuan pengajuan , Perjanjian Agen Escrow dan menerima Formulir pengajuan di dasbor Anda. Setelah penawaran terdanai sepenuhnya, Anda akan menerima Sertifikat Catatan dan dokumen legal terkait dengan transaksi lainnya di dasbor Anda."
"Investor","Why do I need to Top Up to be able to invest?","To be able to bid an amount to an offer during the fundraising period you need to have an available balance in your online account, which is equal to or greater than the amount your want to bid. This amount will be frozen in your account until the end of the fundraising period and labelled as ""Bid Amount"". If the fundraising is successful the amount will be invested in the selected offer. If the fundraising is not successful the Bid Amount will be release to your online account.",,"Kenapa Saya harus Top Up untuk dapat berinvestasi?","Untuk dapat menawar di pinjaman selama periode penggalangan dana, Anda harus memiliki saldo yang tersedia di akun online Anda, yang sama dengan atau lebih dari jumlah yang ingin Anda tawarkan. Jumlah ini akan dibekukan di akun Anda sampai akhir periode penggalangan dana dan diberi label sebagai ""Jumlah Penawaran"". Jika penggalangan dana berhasil jumlah tersebut akan diinvestasikan ke dalam pinjaman yang dipilih, jika penggalangan dana tersebut tidak berhasil, Jumlah Penawaran tersebut akan dilepas ke akun online Anda."
"Investor","I have zero balance, can I still bid?","Yes, If your account balance is zero you can still bid for an offer by doing the following:
 1 - Bid the amount you want on a selected offer. Your bid will be added to your investment cart in Pending status. 
 2 - You can add more bids to your investment cart to build your investment portfolio
 3 - When you have finished bidding, click on the ""Checkout"" button to go the checkout page.
 4 - In the check out page click on Top Up button to confirm you want to checkout those bids. 
 5 - The bid will be added to your ""My Portfolio"" in Pending Status until you top-up the required amount.
 6 - If you do not top-up with 3 days your Pending Bids will be cancelled.",,"Saya memiliki saldo nol, apakah saya masih dapat menawar?","Ya, Jika saldo account Anda adalah nol Anda masih dapat mengajukan tawaran untuk pinjaman dengan melakukan hal berikut:
 1 - Tawarkan jumlah yang Anda inginkan ke pinjaman yang dipilih. Tawaran Anda akan ditambahkan ke keranjang investasi dengan status Tertunda.
 2 - Anda dapat menambahkan lebih banyak tawaran ke keranjang investasi untuk membangun portofolio investasi Anda
 3 - Bila Anda telah selesai melakukan penawaran, klik tombol ""Checkout"" untuk masuk ke halaman checkout.
 4 - Di halaman Checkout, klik tombol Top Up untuk mengkonfirmasi bahwa Anda ingin melakukan checkout untuk tawaran tersebut
 5 - Tawaran akan ditambahkan ke daftar ""My Portofolio"" Anda dengan Status Tertunda sampai Anda melakukan jumlah top-up yang dibutuhkan.
 6 - Jika Anda tidak melakukan top-up dalam 3 hari, Tawaran Tertunda Anda akan dibatalkan."
"Investor","How do I Top Up my account?","To be able to Top Up your account you need to be an Investor Member. 
 If you are an Investor you can click on ""My Account"" and ""Top Up"" to find the instructions to top-up your online account. To top-up you need to:
 1 - Transfer the amount you want to add to your online account to a designated bank account via regular bank transfer. In the transaction description add your online account number which you can find in the Top Up page. Minimum top up amount is IDR 2,000,000 for the Indonesia platform, and minimum SGD 10,000 for the Crowdo International platform.
 2 - Scan or take a picture of the proof of payment and uploaded to you online account in the Top-Up page.
 3 - As soon as your transfer is confirmed your account balance will be updated accordingly",,"Bagaimana cara Top Up akun saya?","Untuk dapat melakukan Top Up, Anda perlu menjadi Investor yang memenuhi kualifikasi.
 Jika Anda seorang Investor, Anda dapat mengklik ""My Account"" dan ""Top Up"" untuk menemukan petunjuk top-up akun online Anda. Untuk top-up Anda perlu melakukan hal berikut:
 1 - Transfer jumlah yang ingin Anda tambahkan ke akun online Anda ke rekening bank yang ditunjuk melalui transfer bank biasa. Dalam uraian transaksi tambahkan nomor akun online Anda yang dapat ditemukan di halaman Top Up. ) Jumlah minimum top up adalah Rp 2.000.000).
 2 - Scan atau foto bukti pembayaran dan upload ke akun Anda secara online di halaman Top-Up.
 3 - Setelah transfer dikonfirmasi saldo akun Anda akan langsung diperbarui."
"Investor","Why is my Bid Pending?","If when you Check Out a bid and you don't have enough funds in your online account the bid will be saved in your ""My Portfolio"" section in Pending status until you top-up your account with the required funds.
 If you top-up the required amount within 5 days from your bid, your pending bid will be automatically confirmed.
 If you don't top-up the required amount with 5 days from your bid, the pending bid will be cancelled",,"Mengapa penawaran Saya Tertunda?","Apabila Anda hendak melakukan Check Out terhadap tawaran dan Anda tidak memiliki cukup dana dalam akun online Anda, tawaran akan disimpan di bagian ""My Portfolio"" dalam status Tertunda sampai Anda melakukan top-up dengan dana yang dibutuhkan.
 Jika Anda melakukan top-up jumlah yang diperlukan dalam waktu 5 hari dari tawaran, tawaran yang tertunda akan otomatis dikonfirmasi.
 Jika Anda tidak top-up jumlah yang diperlukan dalam waktu 5 hari dari tawaran, tawaran tertunda akan dibatalkan"
"Investor","How is the collateral handled?","The collateral is pledged by the Issuer before the funds are disbursed. The collateral is always safeguarded by one of our trusted partners who has secure facilities for collateral management. The collateral is returned to the Issuer upon completed and successful repayment of the debt.",,"Bagaimana jaminan ditangani?","Agunan akan dijaminkan oleh peminjam sebelum pinjaman tersebut dicairkan. Agunan selalu dijaga oleh salah satu mitra terpercaya kami yang memiliki fasilitas yang aman untuk manajemen agunan. Agunan dikembalikan ke peminjam setelah pengembalian pinjaman selesai dilakukan."
"Investor","How is Loan-To-Value (LTV) % of the collateral calculated?","The value of the collateral is evaluated at the time of financing application by a professional with relevant experience in assessing same / similar assets. The LTV is calculated as a % of the collateral assessment taking into account the quality of the asset, any Issuer historical repayment performance and other factors.",,"Bagaimana presentase Loan To Value (LTV) dari agunan dihitung?","Nilai agunan dievaluasi pada saat pengajuan pinjaman oleh seorang profesional dengan pengalaman yang relevan dalam menilai aset yang sama / sejenis. LTV dihitung sebagai % dari penilaian agunan memperhitungkan kualitas aset, sejarah pembayaran peminjam dan faktor lainnya."
"Investor","Are there any fees when I withdraw my money?","Crowdo does not charge any fee if you withdraw your money but the amount you receive would be nett of bank transfer fees. The amount of the transfer fee will depend on the type of transfer as well as the fee of your local banks.",,"Apakah ada biaya ketika Saya menarik uang Saya?","Crowdo tidak mengenakan biaya apapun jika Anda menarik uang, tetapi jumlah yang Anda terima akan dipotong sesuai dengan biaya transfer bank. Jumlah biaya transfer akan tergantung pada jenis transfer serta biaya dari bank lokal Anda."
"Investor","For investments through Crowdo's Indonesia platform - What is the tax implication for Indonesia Tax Resident Investors?","(Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.)
 
 Generally, income derived from transactions processed through the platform are subject to tax. For Indonesia Tax Residents, the reference tax rate is 15% (income tax) applied to the interest earned from their investment returns.
 
 In order to incorporate this income into your tax reporting efficiently, Investors should consider engaging with a tax consultant.",,"Untuk investasi melalui platform Crowdo Indonesia - Berapakah implikasi pajak bagi Investor Penduduk Indonesia?","Catatan: Hal berikut ini bukan merupakan, atau harus dianggap sebagai saran pajak atau investasi. Investor harus berkonsultasi secara pribadi dengan penasihat pajak mereka untuk memahami implikasi pajak yang paling relevan dengan situasi pribadi mereka.) Umumnya, pendapatan yang berasal dari transaksi yang diproses melalui platform tunduk pada pajak. Bagi Pajak Penduduk Indonesia, referensi tarif pajak  adalah 15% (pajak penghasilan) yang diterapkan untuk bunga yang diperoleh dari hasil investasi mereka. Untuk memasukkan pendapatan ini ke laporan pajak Anda secara efisien, Investor harus mempertimbangkan untuk melibatkan konsultan pajak."
"Investor","For investments through Crowdo's Indonesia platform - What is the tax implication for Non Indonesia Resident Investors?","(Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.)
 
 The interest payments from borrower(s) to Non Indonesian Resident investors would be deemed as income originated in Indonesia and subject to withholding tax. The liability to withhold rests with borrower. Therefore, in connection with the loan, there should be no Indonesian tax implications for Non Indonesia Resident Investors.",,"Apa implikasi pajak untuk Investor bukan Warga Negara Indonesia?","(Catatan: Berikut ini bukan merupakan, atau harus dianggap sebagai anjuran pajak atau investasi. Investor harus berkonsultasi secara pribadi dengan penasihat pajak mereka untuk memahami implikasi pajak yang paling relevan dengan situasi pribadi mereka.)
 
 Pembayaran bunga dari peminjam ke investor yang bukan Warga Negara Indonesia akan dianggap sebagai pendapatan berasal di Indonesia dan tunduk pada pemotongan pajak. Kewajiban tersebut terletak pada peminjam. Oleh karena itu, sehubungan dengan pinjaman, seharusnya tidak ada implikasi pajak Indonesia untuk Investor yang bukan penduduk Indonesia."
"Investor","For investments through Crowdo's International platform - What is the tax implication for Singapore Tax Resident Investors?","(Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.)
According to Inland Revenue Authority of Singapore (IRAS), interest income from loans to companies are taxable at progressive tax rates for tax residents.
",,"Untuk investasi melalui platform Internasional Crowdo - Berapakah implikasi pajak bagi Investor Penduduk Singapura?","Catatan: Hal berikut ini bukan merupakan, atau harus dianggap sebagai saran pajak atau investasi. Investor harus berkonsultasi secara pribadi dengan penasihat pajak mereka untuk memahami implikasi pajak yang paling relevan dengan situasi pribadi mereka.) Menurut Inland Revenue Authority of Singapore (IRAS), pendapatan bunga dari pinjaman kepada perusahaan dikenai pajak dengan tarif pajak progresif untuk pajak.penduduk."
"Investor","For investments through Crowdo's International platform - What is the tax implication for Non Singapore Tax Resident Investors?","(Note: The following does not constitute, nor should be considered as tax or investment advice. Investors must consult personally with their tax advisor to understand the tax implications most relevant to their personal situation.)
For non-tax residents, tax rates are generally at 15% and subjected to withholding. The tax rates could differ on a case-by-case basis e.g., tax treaties. ",,"Untuk investasi melalui platform Internasional Crowdo - Berapakah implikasi pajak bagi Investor Bukan Penduduk Singapura?","(Catatan: Berikut ini bukan merupakan, atau harus dianggap sebagai saran pajak atau investasi Investor harus berkonsultasi secara pribadi dengan penasihat pajak mereka untuk memahami implikasi pajak yang paling relevan dengan situasi pribadi mereka.) Bagi pajak bukan penduduk , tarif pajak pada umumnya sebesar 15% dan dikenakan pemotongan. Tarif pajak bisa berbeda berdasarkan kasus per kasus misalnya, perjanjian pajak."
"Investor","What is the Exchange Rate Risk?","Exchange rate risk or currency risk is a form of risk that arises from the change of exchange rate of one currency against another. These fluctuations result from the unpredictable gains and losses incurred when profits from foreign investments are converted from the foreign currency into investor's currency. For example, if your money denomination is not SGD when you invest in SGD loans your investment is exposed to exchange rate risk.",,"Apa Risiko Nilai Tukar?","Resiko nilai tukar atau mata uang adalah bentuk risiko yang timbul dari perubahan nilai tukar satu mata uang terhadap yang lain. Fluktuasi ini hasil dari keuntungan dan kerugian tak terduga yang terjadi ketika keuntungan dari investasi asing dikonversi mata uang asing ke mata uang investor. For investor, jika denominasi uang Anda bukan SGD, ketika Anda berinvestasi dalam pinjaman SGD investasi Anda akan terkena risiko nilai tukar."
